timestamp,z_window,person,device
0 days 00:00:06.549000,-0.03943423532000003,3,watch
0 days 00:00:06.552000,-0.022085063420000023,3,watch
0 days 00:00:06.590000,-0.013808849420000052,3,watch
0 days 00:00:06.592000,-0.04312457442000001,3,watch
0 days 00:00:06.631000,-0.07502096042000002,3,watch
0 days 00:00:06.634000,-0.10350784642,3,watch
0 days 00:00:06.677000,-0.12316073092,3,watch
0 days 00:00:06.682000,-0.13693383192000003,3,watch
0 days 00:00:06.722000,-0.16077626942000006,3,watch
0 days 00:00:06.752000,-0.18289966141999997,3,watch
0 days 00:00:06.770000,-0.19535863091999997,3,watch
0 days 00:00:06.776000,-0.20095908925999997,3,watch
0 days 00:00:06.817000,-0.22430916609999996,3,watch
0 days 00:00:06.838000,-0.2281965291,3,watch
0 days 00:00:06.848000,-0.2141345521,3,watch
0 days 00:00:06.852000,-0.21353282460000003,3,watch
0 days 00:00:06.898000,-0.27655499990000004,3,watch
0 days 00:00:06.901000,-0.3395771752000001,3,watch
0 days 00:00:06.938000,-0.30452030726,3,watch
0 days 00:00:06.971000,-0.28285217226,3,watch
0 days 00:00:06.972000,-0.25993567226000003,3,watch
0 days 00:00:07.017000,-0.20982223526000002,3,watch
0 days 00:00:07.021000,-0.23902405826000006,3,watch
0 days 00:00:07.061000,-0.29085907866000005,3,watch
0 days 00:00:07.063000,-0.27544502806000004,3,watch
0 days 00:00:07.100000,-0.24416672106000004,3,watch
0 days 00:00:07.102000,-0.20440998706000002,3,watch
0 days 00:00:07.147000,-0.17593593346000003,3,watch
0 days 00:00:07.151000,-0.19280293785999997,3,watch
0 days 00:00:07.190000,-0.16116580586,3,watch
0 days 00:00:07.197000,-0.16593565385999995,3,watch
0 days 00:00:07.236000,-0.18259770335999992,3,watch
0 days 00:00:07.237000,-0.19925975285999992,3,watch
0 days 00:00:07.274000,-0.18327291425999992,3,watch
0 days 00:00:07.277000,-0.16728607565999995,3,watch
0 days 00:00:07.317000,-0.16021195530999996,3,watch
0 days 00:00:07.320000,-0.15313783496,3,watch
0 days 00:00:07.357000,-0.13431491056,3,watch
0 days 00:00:07.358000,-0.11549198616,3,watch
0 days 00:00:07.400000,-0.09691796576,3,watch
0 days 00:00:07.401000,-0.07834394536,3,watch
0 days 00:00:07.442000,-0.06111671935999997,3,watch
0 days 00:00:07.446000,-0.04388949335999997,3,watch
0 days 00:00:07.485000,-0.05164860535999995,3,watch
0 days 00:00:07.487000,-0.05940771735999993,3,watch
0 days 00:00:07.531000,0.0052225576400000496,3,watch
0 days 00:00:07.534000,0.06985283264000003,3,watch
0 days 00:00:07.580000,0.0018124996400000627,3,watch
0 days 00:00:07.588000,-0.041196138359999954,3,watch
0 days 00:00:07.617000,-0.043343078659999944,3,watch
0 days 00:00:07.627000,-0.10732255695999995,3,watch
0 days 00:00:07.660000,-0.16908585345999996,3,watch
0 days 00:00:07.664000,-0.26085574895999997,3,watch
0 days 00:00:07.701000,-0.29030673725999995,3,watch
0 days 00:00:07.704000,-0.31103037455999993,3,watch
0 days 00:00:07.744000,-0.40864210786,3,watch
0 days 00:00:07.747000,-0.4059407308600001,3,watch
0 days 00:00:07.785000,-0.43520788736,3,watch
0 days 00:00:07.786000,-0.43068963356000006,3,watch
0 days 00:00:07.826000,-0.45368375986,3,watch
0 days 00:00:07.826000,-0.43684558015999997,3,watch
0 days 00:00:07.878000,-0.40888461166,3,watch
0 days 00:00:07.881000,-0.41787547556000004,3,watch
0 days 00:00:07.922000,-0.4304613137600001,3,watch
0 days 00:00:07.928000,-0.42700909656,3,watch
0 days 00:00:07.958000,-0.42149556386,3,watch
0 days 00:00:07.966000,-0.41108929516,3,watch
0 days 00:00:07.996000,-0.40634965616,3,watch
0 days 00:00:07.998000,-0.43297125916,3,watch
0 days 00:00:08.040000,-0.45742946616,3,watch
0 days 00:00:08.041000,-0.45879159316,3,watch
0 days 00:00:08.085000,-0.45305768386000006,3,watch
0 days 00:00:08.094000,-0.4288322445600001,3,watch
0 days 00:00:08.130000,-0.40643287025999997,3,watch
0 days 00:00:08.133000,-0.3693708199599999,3,watch
0 days 00:00:08.170000,-0.32898490935999986,3,watch
0 days 00:00:08.174000,-0.30952144476,3,watch
0 days 00:00:08.211000,-0.29642757575999995,3,watch
0 days 00:00:08.212000,-0.28326068176,3,watch
0 days 00:00:08.259000,-0.27387443935999994,3,watch
0 days 00:00:08.262000,-0.38874204896,3,watch
0 days 00:00:08.299000,-0.50273867856,3,watch
0 days 00:00:08.303000,-0.51103790536,3,watch
0 days 00:00:08.343000,-0.51974193056,3,watch
0 days 00:00:08.347000,-0.53646143096,3,watch
0 days 00:00:08.384000,-0.54244378756,3,watch
0 days 00:00:08.388000,-0.47369926176000005,3,watch
0 days 00:00:08.422000,-0.41242346116000006,3,watch
0 days 00:00:08.423000,-0.39904510756,3,watch
0 days 00:00:08.470000,-0.3617673685599999,3,watch
0 days 00:00:08.472000,-0.3015928625599999,3,watch
0 days 00:00:08.511000,-0.25770284755999995,3,watch
0 days 00:00:08.524000,-0.3048425595599999,3,watch
0 days 00:00:08.554000,-0.3601256907599999,3,watch
0 days 00:00:08.558000,-0.30793049896,3,watch
0 days 00:00:08.598000,-0.24749992996000003,3,watch
0 days 00:00:08.605000,-0.26944440096000005,3,watch
0 days 00:00:08.639000,-0.30016056726000007,3,watch
0 days 00:00:08.642000,-0.25713759656,3,watch
0 days 00:00:08.683000,-0.20240645056000006,3,watch
0 days 00:00:08.687000,-0.19381189346000005,3,watch
0 days 00:00:08.720000,-0.19218259207200006,3,watch
0 days 00:00:08.722000,-0.181480332784,3,watch
0 days 00:00:08.763000,-0.17101197657400002,3,watch
0 days 00:00:08.765000,-0.15796295936400004,3,watch
0 days 00:00:08.813000,-0.15339079636400002,3,watch
0 days 00:00:08.827000,-0.157652634864,3,watch
0 days 00:00:08.848000,-0.160654417364,3,watch
0 days 00:00:08.851000,-0.153586863364,3,watch
0 days 00:00:08.893000,-0.154384588364,3,watch
0 days 00:00:08.893000,-0.164846735864,3,watch
0 days 00:00:08.965000,-0.15634502236400002,3,watch
0 days 00:00:09.019000,-0.133822810224,3,watch
0 days 00:00:09.033000,-0.11130059808400002,3,watch
0 days 00:00:09.048000,-0.104729100384,3,watch
0 days 00:00:09.049000,-0.096427108384,3,watch
0 days 00:00:09.061000,-0.07456340408399999,3,watch
0 days 00:00:09.062000,-0.05269969978399999,3,watch
0 days 00:00:09.104000,-0.048015307724,3,watch
0 days 00:00:09.108000,-0.029942182723999986,3,watch
0 days 00:00:09.155000,-0.0073495211239999955,3,watch
0 days 00:00:09.157000,-0.011953796523999973,3,watch
0 days 00:00:09.199000,-0.012725108523999969,3,watch
0 days 00:00:09.217000,0.009136776876000032,3,watch
0 days 00:00:09.233000,0.02478691427600004,3,watch
0 days 00:00:09.237000,0.02457279527600004,3,watch
0 days 00:00:09.276000,0.029043144276000032,3,watch
0 days 00:00:09.279000,0.04479617367600003,3,watch
0 days 00:00:09.319000,0.06310641307600003,3,watch
0 days 00:00:09.326000,0.06931949607600002,3,watch
0 days 00:00:09.357000,0.07591645007600002,3,watch
0 days 00:00:09.358000,0.08366180657600002,3,watch
0 days 00:00:09.401000,0.08131634827600001,3,watch
0 days 00:00:09.402000,0.082904705876,3,watch
0 days 00:00:09.446000,0.080581838876,3,watch
0 days 00:00:09.449000,0.08101781552600001,3,watch
0 days 00:00:09.491000,0.08680981057600003,3,watch
0 days 00:00:09.495000,0.090142347176,3,watch
0 days 00:00:09.535000,0.09219441277599999,3,watch
0 days 00:00:09.541000,0.10020848337600002,3,watch
0 days 00:00:09.570000,0.10452648077600003,3,watch
0 days 00:00:09.571000,0.10965264157600003,3,watch
0 days 00:00:09.613000,0.11691191657600002,3,watch
0 days 00:00:09.614000,0.13594987957600002,3,watch
0 days 00:00:09.660000,0.150288308536,3,watch
0 days 00:00:09.660000,0.10314172449600005,3,watch
0 days 00:00:09.703000,0.05570929089599999,3,watch
0 days 00:00:09.706000,0.093982572296,3,watch
0 days 00:00:09.743000,0.131887886796,3,watch
