timestamp,z_window,person,device
0 days 00:00:59.267000,0.013045408866000004,4,glass
0 days 00:00:59.477000,0.015242088965999998,4,glass
0 days 00:00:59.693000,0.013420999265999997,4,glass
0 days 00:00:59.880000,0.011758525565999994,4,glass
0 days 00:01:00.093000,0.014930842915999993,4,glass
0 days 00:01:00.264000,0.014603136545999998,4,glass
0 days 00:01:00.475000,0.017114055506000002,4,glass
0 days 00:01:00.686000,0.019292779006000002,4,glass
0 days 00:01:00.859000,0.025046345279999997,4,glass
0 days 00:01:01.070000,0.029878143579999995,4,glass
0 days 00:01:01.281000,0.02785953231400001,4,glass
0 days 00:01:01.495000,0.020263927424000006,4,glass
0 days 00:01:01.667000,0.01745522950400001,4,glass
0 days 00:01:01.878000,0.03171868590400001,4,glass
0 days 00:01:02.088000,0.043496661804,4,glass
0 days 00:01:02.262000,0.042636245564,4,glass
0 days 00:01:02.472000,0.042087075564,4,glass
0 days 00:01:02.685000,0.042877162107,4,glass
0 days 00:01:02.857000,0.04071639514699999,4,glass
0 days 00:01:03.066000,0.043650788566999985,4,glass
0 days 00:01:03.277000,0.053037555566999996,4,glass
0 days 00:01:03.489000,0.05582829686699999,4,glass
0 days 00:01:03.661000,0.047212163167000006,4,glass
0 days 00:01:03.873000,0.04096928251700001,4,glass
0 days 00:01:04.083000,0.05654206821700001,4,glass
0 days 00:01:04.256000,0.06560112861700002,4,glass
0 days 00:01:04.467000,0.06949918841700001,4,glass
0 days 00:01:04.678000,0.06107758391700001,4,glass
0 days 00:01:04.853000,0.05901108841700001,4,glass
0 days 00:01:05.063000,0.050435356816999996,4,glass
0 days 00:01:05.275000,0.039068883817,4,glass
0 days 00:01:05.485000,0.042405802476999994,4,glass
0 days 00:01:05.657000,0.048816277977,4,glass
0 days 00:01:05.868000,0.05652560721700001,4,glass
0 days 00:01:06.080000,0.064912794817,4,glass
0 days 00:01:06.252000,0.07408707651700001,4,glass
0 days 00:01:06.464000,0.070976110617,4,glass
0 days 00:01:06.674000,0.07266402281699999,4,glass
0 days 00:01:06.850000,0.093363393317,4,glass
0 days 00:01:07.059000,0.10440066321699998,4,glass
0 days 00:01:07.270000,0.11286117351699998,4,glass
0 days 00:01:07.481000,0.10901249421699996,4,glass
0 days 00:01:07.654000,0.107999447717,4,glass
0 days 00:01:07.865000,0.11237185861699997,4,glass
0 days 00:01:08.076000,0.126979481677,4,glass
0 days 00:01:08.249000,0.133312144877,4,glass
0 days 00:01:08.460000,0.10015843652700002,4,glass
0 days 00:01:08.671000,0.10657489712700002,4,glass
0 days 00:01:08.881000,0.10773309232700001,4,glass
0 days 00:01:09.055000,0.10701333543700002,4,glass
0 days 00:01:09.267000,0.08771008443700001,4,glass
0 days 00:01:09.478000,0.09375544353700004,4,glass
0 days 00:01:09.651000,0.081594394737,4,glass
0 days 00:01:09.862000,0.08403498373700001,4,glass
0 days 00:01:10.073000,0.09392752563699996,4,glass
0 days 00:01:10.247000,0.10370634283699998,4,glass
0 days 00:01:10.459000,0.10964545973699996,4,glass
0 days 00:01:10.645000,0.11340884473699997,4,glass
0 days 00:01:10.861000,0.11739967982699998,4,glass
0 days 00:01:11.071000,0.13180978142699998,4,glass
0 days 00:01:11.245000,0.12843994258699998,4,glass
0 days 00:01:11.455000,0.13299491138699998,4,glass
0 days 00:01:11.666000,0.129336271987,4,glass
0 days 00:01:11.877000,0.12609811426700002,4,glass
0 days 00:01:12.051000,0.12858209861699998,4,glass
0 days 00:01:12.262000,0.126957034117,4,glass
0 days 00:01:12.473000,0.12716203751699998,4,glass
0 days 00:01:12.647000,0.130492970617,4,glass
0 days 00:01:12.857000,0.12940360883699997,4,glass
0 days 00:01:13.067000,0.128951703237,4,glass
0 days 00:01:13.241000,0.132180882737,4,glass
0 days 00:01:13.451000,0.094971995937,4,glass
0 days 00:01:13.663000,0.103986165237,4,glass
0 days 00:01:13.875000,0.105976345637,4,glass
0 days 00:01:14.056000,0.11890802763700002,4,glass
0 days 00:01:14.240000,0.122357174537,4,glass
0 days 00:01:14.450000,0.12220753693699998,4,glass
