timestamp,x_window,person,device
0 days 00:00:19.745000,-0.043363482034999984,9,glass
0 days 00:00:19.949000,-0.03602974303499998,9,glass
0 days 00:00:20.159000,-0.04600458573499997,9,glass
0 days 00:00:20.337000,-0.03394678723499998,9,glass
0 days 00:00:20.541000,-0.02308459353499997,9,glass
0 days 00:00:20.744000,-0.017767969234999983,9,glass
0 days 00:00:20.949000,-0.02576609983499998,9,glass
0 days 00:00:21.152000,-0.022803275134999988,9,glass
0 days 00:00:21.355000,-0.026264392934999995,9,glass
0 days 00:00:21.571000,-0.034537856085,9,glass
0 days 00:00:21.757000,-0.049479171084999996,9,glass
0 days 00:00:21.938000,-0.05507861018499998,9,glass
0 days 00:00:22.162000,-0.05545420048499999,9,glass
0 days 00:00:22.347000,-0.06003759982499998,9,glass
0 days 00:00:22.570000,-0.06057030982499999,9,glass
0 days 00:00:22.754000,-0.061587845325,9,glass
0 days 00:00:22.946000,-0.06413916652499999,9,glass
0 days 00:00:23.162000,-0.06463895552499997,9,glass
0 days 00:00:23.346000,-0.053591211225,9,glass
0 days 00:00:23.573000,-0.049953520924999995,9,glass
0 days 00:00:23.734000,-0.04535665365999999,9,glass
0 days 00:00:23.958000,-0.05005078526000001,9,glass
0 days 00:00:24.140000,-0.03268833406000001,9,glass
0 days 00:00:24.364000,-0.022119430060000007,9,glass
0 days 00:00:24.547000,-0.03224540676000001,9,glass
0 days 00:00:24.732000,-0.05534945326000001,9,glass
0 days 00:00:24.955000,-0.07816320226000002,9,glass
0 days 00:00:25.138000,-0.08147617896000002,9,glass
0 days 00:00:25.363000,-0.06546794746000001,9,glass
0 days 00:00:25.546000,-0.07553706176,9,glass
0 days 00:00:25.731000,-0.08536077056000002,9,glass
0 days 00:00:25.953000,-0.12808081076,9,glass
0 days 00:00:26.137000,-0.14882357626,9,glass
0 days 00:00:26.362000,-0.12084732865999999,9,glass
0 days 00:00:26.545000,-0.10045920516,9,glass
0 days 00:00:26.729000,-0.08962993126,9,glass
0 days 00:00:26.952000,-0.08967482266000001,9,glass
0 days 00:00:27.136000,-0.10598532186000002,9,glass
0 days 00:00:27.360000,-0.08995614066,9,glass
0 days 00:00:27.544000,-0.07419780466000002,9,glass
0 days 00:00:27.730000,-0.06883479270000001,9,glass
0 days 00:00:27.952000,-0.05978770270000002,9,glass
0 days 00:00:28.135000,-0.053461024350000004,9,glass
0 days 00:00:28.359000,-0.04733336435,9,glass
0 days 00:00:28.543000,-0.03934720534999999,9,glass
0 days 00:00:28.727000,-0.03126527835,9,glass
0 days 00:00:28.950000,-0.029562402430000002,9,glass
0 days 00:00:29.134000,-0.029692587154000007,9,glass
0 days 00:00:29.359000,-0.024688705194000012,9,glass
0 days 00:00:29.542000,-0.030973484794000004,9,glass
0 days 00:00:29.726000,-0.025270795794000003,9,glass
0 days 00:00:29.950000,-0.028694504094,9,glass
0 days 00:00:30.133000,-0.028582275894000003,9,glass
0 days 00:00:30.357000,-0.025405469614,9,glass
0 days 00:00:30.541000,-0.020272899714000002,9,glass
0 days 00:00:30.724000,-0.010775400913999998,9,glass
0 days 00:00:30.948000,-0.016213231613999995,9,glass
0 days 00:00:31.131000,-0.022041616313999993,9,glass
0 days 00:00:31.355000,-0.015372268113999993,9,glass
0 days 00:00:31.538000,-0.025573063314000003,9,glass
0 days 00:00:31.723000,-0.032052371814,9,glass
0 days 00:00:31.947000,-0.038262332814,9,glass
0 days 00:00:32.130000,-0.040500911514,9,glass
0 days 00:00:32.354000,-0.041374795104,9,glass
0 days 00:00:32.538000,-0.04170399783400001,9,glass
0 days 00:00:32.722000,-0.032330698134,9,glass
0 days 00:00:32.946000,-0.03302800939400001,9,glass
0 days 00:00:33.130000,-0.039185596694000006,9,glass
0 days 00:00:33.353000,-0.04185962077400001,9,glass
0 days 00:00:33.537000,-0.042283095174,9,glass
0 days 00:00:33.721000,-0.04571278900400001,9,glass
0 days 00:00:33.945000,-0.04539106810400001,9,glass
0 days 00:00:34.128000,-0.048072573904,9,glass
0 days 00:00:34.352000,-0.04649539362400001,9,glass
0 days 00:00:34.536000,-0.048050128324,9,glass
0 days 00:00:34.719000,-0.04062361412400001,9,glass
0 days 00:00:34.944000,-0.03817853532399999,9,glass
0 days 00:00:35.127000,-0.02825157662400001,9,glass
0 days 00:00:35.351000,-0.018676265924000002,9,glass
0 days 00:00:35.536000,-0.012289732924000006,9,glass
0 days 00:00:35.720000,-0.009513955224000005,9,glass
0 days 00:00:35.923000,-0.0022251074240000044,9,glass
0 days 00:00:36.147000,-0.0018016329940000065,9,glass
0 days 00:00:36.332000,-0.0018555024940000093,9,glass
0 days 00:00:36.515000,-0.012322652894000013,9,glass
0 days 00:00:36.719000,0.0044412487059999894,9,glass
0 days 00:00:36.942000,0.013034936005999984,9,glass
0 days 00:00:37.126000,0.006537671155999985,9,glass
0 days 00:00:37.313000,0.02644695485599997,9,glass
0 days 00:00:37.533000,0.03552397195599997,9,glass
0 days 00:00:37.709000,0.04162918625599997,9,glass
0 days 00:00:37.909000,0.06082020825599998,9,glass
0 days 00:00:38.113000,0.06330269575599999,9,glass
0 days 00:00:38.317000,0.06797288555599998,9,glass
0 days 00:00:38.520000,0.06205771110599999,9,glass
0 days 00:00:38.725000,0.05892878890599999,9,glass
0 days 00:00:38.920000,0.064906811306,9,glass
0 days 00:00:39.130000,0.07021745004600001,9,glass
0 days 00:00:39.307000,0.07689427904599999,9,glass
0 days 00:00:39.551000,0.06857293104599999,9,glass
0 days 00:00:39.725000,0.07892186744599998,9,glass
0 days 00:00:39.907000,0.06552331644599999,9,glass
0 days 00:00:40.129000,0.075324579446,9,glass
0 days 00:00:40.307000,0.06807014804599999,9,glass
0 days 00:00:40.542000,0.06108955394599999,9,glass
0 days 00:00:40.718000,0.04451868494599998,9,glass
0 days 00:00:40.932000,0.04123862884599999,9,glass
0 days 00:00:41.138000,0.04437652934599999,9,glass
0 days 00:00:41.311000,0.053489460146000006,9,glass
0 days 00:00:41.522000,0.063087216296,9,glass
0 days 00:00:41.733000,0.083405010296,9,glass
0 days 00:00:41.907000,0.08083273999599999,9,glass
0 days 00:00:42.118000,0.08457966559600001,9,glass
0 days 00:00:42.330000,0.08958953214599999,9,glass
0 days 00:00:42.542000,0.08617480204599999,9,glass
0 days 00:00:42.714000,0.081981956246,9,glass
0 days 00:00:42.925000,0.07941267851600001,9,glass
0 days 00:00:43.137000,0.06939144798600001,9,glass
0 days 00:00:43.310000,0.068513075186,9,glass
0 days 00:00:43.521000,0.06633584798600001,9,glass
0 days 00:00:43.732000,0.06395062448600002,9,glass
0 days 00:00:43.905000,0.05729773638600001,9,glass
0 days 00:00:44.117000,0.057351605926000006,9,glass
0 days 00:00:44.327000,0.06047903182600001,9,glass
0 days 00:00:44.502000,0.068318546326,9,glass
0 days 00:00:44.732000,0.064604540826,9,glass
0 days 00:00:44.904000,0.066124858326,9,glass
0 days 00:00:45.116000,0.065924344126,9,glass
0 days 00:00:45.326000,0.078465471626,9,glass
0 days 00:00:45.501000,0.08997559592599998,9,glass
0 days 00:00:45.710000,0.099010714726,9,glass
0 days 00:00:45.922000,0.108367554526,9,glass
